IE_XML_ID;IE_NAME;IP_PROP64
17834;Светильник SP-TWIST-SURFACE-S60x60-12W (WH-BK / BK, 30 deg);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17834;Светильник SP-TWIST-SURFACE-S60x60-12W (WH-BK / BK, 30 deg);/local/templates/universe_s1/Сертификат СанПин.jpg
17835;Светильник SP-TWIST-SURFACE-R70-12W White5000 (WH-BK, 30 deg);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17835;Светильник SP-TWIST-SURFACE-R70-12W White5000 (WH-BK, 30 deg);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17835;Светильник SP-TWIST-SURFACE-R70-12W White5000 (WH-BK, 30 deg);/local/templates/universe_s1/Сертификат СанПин.jpg
17836;Светильник SP-TWIST-SURFACE-R70-12W Day4000 (WH-BK, 30 deg);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17836;Светильник SP-TWIST-SURFACE-R70-12W Day4000 (WH-BK, 30 deg);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17836;Светильник SP-TWIST-SURFACE-R70-12W Day4000 (WH-BK, 30 deg);/local/templates/universe_s1/Сертификат СанПин.jpg
17837;Светильник SP-TWIST-SURFACE-R70-12W Warm3000 (WH-BK, 30 deg);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17837;Светильник SP-TWIST-SURFACE-R70-12W Warm3000 (WH-BK, 30 deg);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17837;Светильник SP-TWIST-SURFACE-R70-12W Warm3000 (WH-BK, 30 deg);/local/templates/universe_s1/Сертификат СанПин.jpg
17838;Светильник SP-UNO-R55-5W White6000 (WH, 24 deg);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17838;Светильник SP-UNO-R55-5W White6000 (WH, 24 deg);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17838;Светильник SP-UNO-R55-5W White6000 (WH, 24 deg);/local/templates/universe_s1/Сертификат СанПин.jpg
17839;Светильник SP-UNO-R55-5W Day4000 (WH, 24 deg);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17839;Светильник SP-UNO-R55-5W Day4000 (WH, 24 deg);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17839;Светильник SP-UNO-R55-5W Day4000 (WH, 24 deg);/local/templates/universe_s1/Сертификат СанПин.jpg
17840;Светильник SP-UNO-R55-5W Warm3000 (WH, 24 deg);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17840;Светильник SP-UNO-R55-5W Warm3000 (WH, 24 deg);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17840;Светильник SP-UNO-R55-5W Warm3000 (WH, 24 deg);/local/templates/universe_s1/Сертификат СанПин.jpg
17841;Светильник SP-CUBUS-S100x100BK-11W White 40deg;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17841;Светильник SP-CUBUS-S100x100BK-11W White 40deg;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17841;Светильник SP-CUBUS-S100x100BK-11W White 40deg;/local/templates/universe_s1/Сертификат СанПин.jpg
17842;Светильник SP-CUBUS-S100x100BK-11W Day White 40deg;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17842;Светильник SP-CUBUS-S100x100BK-11W Day White 40deg;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17842;Светильник SP-CUBUS-S100x100BK-11W Day White 40deg;/local/templates/universe_s1/Сертификат СанПин.jpg
17843;Светильник SP-CUBUS-S100x100BK-11W Warm White 40deg;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17843;Светильник SP-CUBUS-S100x100BK-11W Warm White 40deg;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17843;Светильник SP-CUBUS-S100x100BK-11W Warm White 40deg;/local/templates/universe_s1/Сертификат СанПин.jpg
